Period,Group,Cov_radius_cordero
1,1,0.31
1,18,0.28
2,1,1.28
2,2,0.96
2,13,0.84
2,14,0.7445337366
2,15,0.71
2,16,0.66
2,17,0.57
2,18,0.58
3,1,1.66
3,2,1.41
3,13,1.21
3,14,1.11
3,15,1.07
3,16,1.05
3,17,1.02
3,18,1.06
4,1,2.03
4,2,1.76
4,3,1.7
4,4,1.6
4,5,1.53
4,6,1.39
4,7,1.553504
4,8,1.4841791045
4,9,1.2975449102
4,10,1.24
4,11,1.32
4,12,1.22
4,13,1.22
4,14,1.2
4,15,1.19
4,16,1.2
4,17,1.2
4,18,1.16
5,1,2.2
5,2,1.95
5,3,1.9
5,4,1.75
5,5,1.64
5,6,1.54
5,7,1.47
5,8,1.46
5,9,1.42
5,10,1.39
5,11,1.45
5,12,1.44
5,13,1.42
5,14,1.39
5,15,1.39
5,16,1.38
5,17,1.39
5,18,1.4
6,1,2.44
6,2,2.15
3,3,2.07
3,3,2.04
3,3,2.03
3,3,2.01
3,3,1.99
3,3,1.98
3,3,1.98
3,3,1.96
3,3,1.94
3,3,1.92
3,3,1.92
3,3,1.89
3,3,1.9
3,3,1.87
3,3,1.87
6,3,1.75
6,5,1.7
6,6,1.62
6,7,1.51
6,8,1.44
6,9,1.41
6,10,1.36
6,11,1.36
6,12,1.32
6,13,1.45
6,14,1.46
6,15,1.48
6,16,1.4
6,17,1.5
6,18,1.5
7,1,2.6
7,2,2.21
3,3,2.15
3,3,2.06
3,3,2.0
3,3,1.96
3,3,1.9
3,3,1.87
